Brand,Model Year,Mileage,Fuel Type,Condition,Transmission,Resale Price
Honda,2011,74152,Gasoline,2,Automatic,22070
Mercedes,2015,60180,Electric,4,Manual,56002
BMW,2014,81297,Electric,4,Automatic,51684
Mercedes,2013,17194,Diesel,1,Manual,44400
Mercedes,2018,31986,Gasoline,5,Manual,52688
Ford,2017,60286,Gasoline,4,Manual,27109
BMW,2006,68353,Gasoline,3,Manual,32674
BMW,2007,76939,Electric,4,Automatic,48088
BMW,2011,63496,Diesel,2,Manual,40105
Mercedes,2022,63293,Diesel,4,Manual,53950
Honda,2007,52211,Gasoline,5,Automatic,27631
BMW,2014,91818,Electric,4,Automatic,50442
Mercedes,2011,37939,Gasoline,1,Automatic,45445
Ford,2013,67180,Diesel,4,Manual,26756
Honda,2021,40243,Electric,5,Automatic,42719
Ford,2015,70695,Gasoline,1,Manual,20422
Honda,2011,39259,Gasoline,3,Manual,23037
Mercedes,2018,74876,Electric,1,Automatic,51582
Toyota,2023,62242,Diesel,2,Automatic,32039
Honda,2008,94892,Electric,1,Automatic,25901
Ford,2010,54379,Gasoline,3,Automatic,22933
Mercedes,2014,68499,Gasoline,4,Automatic,51942
Honda,2011,44406,Gasoline,1,Automatic,25182
Toyota,2017,54242,Gasoline,1,Manual,20400
Toyota,2018,62114,Diesel,1,Manual,23224
BMW,2008,29455,Diesel,1,Automatic,39300
BMW,2012,31647,Gasoline,3,Manual,39136
Ford,2009,71997,Diesel,5,Manual,25034
Honda,2005,57078,Diesel,5,Manual,21658
Honda,2008,48141,Diesel,1,Manual,22009
BMW,2007,45260,Gasoline,3,Manual,37148
Honda,2013,46030,Electric,3,Manual,31517
Honda,2012,62251,Electric,1,Automatic,30858
Toyota,2005,68900,Electric,2,Automatic,28719
BMW,2010,18157,Gasoline,1,Automatic,36030
Mercedes,2013,88256,Diesel,2,Manual,43111
BMW,2011,86834,Diesel,1,Automatic,38016
Mercedes,2008,13386,Gasoline,2,Automatic,43921
Toyota,2017,81718,Gasoline,2,Automatic,29108
Ford,2021,81104,Electric,1,Manual,31783
Honda,2006,60008,Electric,2,Automatic,34377
Toyota,2009,34056,Gasoline,4,Manual,26966
Honda,2016,80304,Electric,5,Automatic,36697
Ford,2012,55175,Diesel,3,Automatic,24929
Ford,2010,70977,Gasoline,2,Automatic,20962
Toyota,2012,104384,Gasoline,2,Manual,18947
Ford,2022,65036,Diesel,3,Manual,28465
Mercedes,2007,41662,Diesel,2,Manual,39339
Ford,2016,53285,Diesel,3,Manual,27130
Honda,2007,44211,Electric,1,Manual,26471
Honda,2010,68669,Gasoline,4,Automatic,27131
Honda,2006,43878,Electric,4,Automatic,31017
Honda,2016,50542,Diesel,5,Manual,30466
Mercedes,2006,34311,Electric,2,Manual,51382
BMW,2010,57358,Diesel,5,Automatic,43911
Toyota,2021,63535,Electric,1,Manual,31547
Honda,2007,6304,Electric,4,Automatic,37108
Ford,2006,65191,Diesel,1,Manual,15302
Honda,2024,59085,Electric,1,Automatic,36579
Ford,2012,44700,Gasoline,2,Manual,24216
Ford,2016,100572,Electric,1,Manual,25224
Honda,2008,79169,Electric,4,Automatic,35630
Mercedes,2009,38071,Gasoline,5,Automatic,48924
Ford,2017,76764,Diesel,4,Manual,24419
Ford,2019,84889,Gasoline,2,Manual,23962
Honda,2020,62640,Electric,4,Automatic,39583
Ford,2014,67228,Diesel,3,Manual,24164
Ford,2020,66766,Electric,5,Automatic,38124
Honda,2016,18283,Electric,3,Automatic,38286
Honda,2021,56262,Gasoline,3,Manual,23551
Toyota,2020,55221,Gasoline,2,Automatic,30176
Mercedes,2016,88603,Diesel,1,Automatic,48664
